VariableName,Definition
TVHrsDayChild,Number of hours per day on average participant watched TV over the past 30 days. Reported for participants 2 to 11 years. Not available 2011-2012.
CompHrsDayChild,Number of hours per day on average participant used a computer or gaming device over the past 30 days. Reported for participants 2 to 11 years old. Not available 2011-2012.
Alcohol12PlusYr,Participant has consumed at least 12 drinks of any type of alcoholic beverage in any one year. Reported for participants 18 years or older as Yes or No.
AlcoholDay,Average number of drinks consumed on days that participant drank alcoholic beverages. Reported for participants aged 18 years or older.
AlcoholYear,Estimated number of days over the past year that participant drank alcoholic beverages. Reported for participants aged 18 years or older.
SmokeNow,"Study participant currently smokes cigarettes regularly. Reported for participants aged 20 years or older as Yes or No, provieded they answered Yes to having somked 100 or more cigarettes in their life time. All subjects who have not smoked 100 or more cigarettes are listed as NA here."
Smoke100,Study participant has smoked at least 100 cigarettes in their entire life. Reported for participants aged 20 years or older as Yes or No.
SmokeAge,Age study participant first started to smoke cigarettes fairly regularly. Reported for participants aged 20 years or older.
Marijuana,Participant has tried marijuana. Reported for participants aged 18 to 59 years as Yes or No.
AgeFirstMarij,Age participant first tried marijuana. Reported for participants aged 18 to 59 years.
RegularMarij,"Participant has been/is a regular marijuana user (used at least once a month for a year). Reported for participants aged 18 to 59 years as Yes or No.
AgeRegMarij,""Age of participant when first started regularly using marijuana. Reported for participants aged 18 to 59 years."
HardDrugs,"Participant has tried cocaine, crack cocaine, heroin or methamphetamine. Reported for participants aged 18 to 69 years as Yes or No."
SexEver,"Participant had had vaginal, anal, or oral sex. Reported for participants aged 18 to 69 years as Yes or No"
SexAge,Age of participant when had sex for the first time. Reported for participants aged 18 to 69 years
SexNumPartnLife,Number of opposite sex partners participant has had any kind of sex with over their lifetime. Reported for participants aged 18 to 69 years
SexNumPartYear,Number of opposite sex partners participant has had any kind of sex with over the past 12 months. Reported for participants aged 18 to 59 years.
SameSex,Participant has had any kind of sex with a same sex partner. Reported for participants aged 18 to 69 years ad Yes or No
SexOrientation,"participant's sexual orientation (self-described). Reported for participants aged 18 to 59 years. One of Heterosexual, Homosexual, Bisexual"
